"Pais","Eficiencia","CalidadReg","ControlCorr","Participacion"
"Sweden",1.82990062236786,1.80167484283447,2.11847805976868,0.8214
"Switzerland",1.95212006568909,1.66447913646698,1.977294921875,0.9048
"Syrian Arab Republic",-1.71127927303314,-1.75790345668793,-1.68855273723602,0.5119
"Tajikistan",-1.04900538921356,-1.01106548309326,-1.32117259502411,0.3452
"Thailand",0.357056349515915,0.11610496789217,-0.407398492097855,0.7738
"Timor-Leste",-0.884692370891571,-0.784346997737885,-0.382982701063156,0.4881
"Togo",-0.917334675788879,-0.678981721401215,-0.749716758728027,0.5119
"Tonga",0.162724331021309,-0.326639235019684,-0.345680236816406,0.369
"Trinidad and Tobago",0.100151464343071,-0.1509860008955,-0.191355749964714,0.619
"Tunisia",-0.102273888885975,-0.437205225229263,-0.077050469815731,0.6905
"Turkey",0.0483859702944756,-0.00731689296662807,-0.290970057249069,0.8929
"Turkmenistan",-1.1562397480011,-1.95760202407837,-1.51190543174744,0.2024
"Tuvalu",-0.646632134914398,-0.555474102497101,0.409078538417816,0.3571
"Uganda",-0.585200130939484,-0.37422439455986,-1.16562569141388,0.5714
"Ukraine",-0.296582520008087,-0.258670091629028,-0.709597170352936,0.8095
"United Arab Emirates",1.37722086906433,0.979325234889984,1.10634207725525,0.9405
"Uruguay",0.695738792419434,0.509408414363861,1.24651086330414,0.8571
"Uzbekistan",-0.514649033546448,-0.993292510509491,-1.053790807724,0.8095
"Vanuatu",-0.546475112438202,-0.460043579339981,-0.258875042200089,0.3929
"Zambia",-0.675214529037476,-0.554269134998322,-0.640345096588135,0.3095
"Zimbabwe",-1.20533716678619,-1.46319949626923,-1.23879551887512,0.4524
